name,stardot_ts,receiver_ts
1570098543.jpg,2019-10-03 05:29:03,2020-09-10 20:51:51
1570103763.jpg,2019-10-03 06:56:03,2020-09-10 22:18:52
1570118343.jpg,2019-10-03 10:59:03,2020-09-11 02:21:53
1570120804.jpg,2019-10-03 11:40:04,2020-09-11 03:02:53
1570149483.jpg,2019-10-03 19:38:03,2020-09-11 11:00:47
1570084383.jpg,2019-10-03 01:33:03,2020-09-10 16:55:49
1570089843.jpg,2019-10-03 03:04:03,2020-09-10 18:26:50
1570086543.jpg,2019-10-03 02:09:03,2020-09-10 17:31:49
1570096744.jpg,2019-10-03 04:59:04,2020-09-10 20:21:54
1570092244.jpg,2019-10-03 03:44:04,2020-09-10 19:06:53
1570115465.jpg,2019-10-03 10:11:05,2020-09-11 01:33:53
1570097466.jpg,2019-10-03 05:11:06,2020-09-10 20:33:55
1570143964.jpg,2019-10-03 18:06:04,2020-09-11 09:28:48
1570141801.jpg,2019-10-03 17:30:01,2020-09-11 08:52:46
1570122424.jpg,2019-10-03 12:07:04,2020-09-11 03:29:54
1570116965.jpg,2019-10-03 10:36:05,2020-09-11 01:58:53
1570112524.jpg,2019-10-03 09:22:04,2020-09-11 00:44:54
1570126865.jpg,2019-10-03 13:21:05,2020-09-11 04:43:56
1570080244.jpg,2019-10-03 00:24:04,2020-09-10 15:46:50
1570132384.jpg,2019-10-03 14:53:04,2020-09-11 06:15:51
1570084022.jpg,2019-10-03 01:27:02,2020-09-10 16:49:49
1570146363.jpg,2019-10-03 18:46:03,2020-09-11 10:08:47
1570107303.jpg,2019-10-03 07:55:03,2020-09-10 23:17:53
1570118223.jpg,2019-10-03 10:57:03,2020-09-11 02:19:55
1570087265.jpg,2019-10-03 02:21:05,2020-09-10 17:43:51
1570108743.jpg,2019-10-03 08:19:03,2020-09-10 23:41:53
1570145643.jpg,2019-10-03 18:34:03,2020-09-11 09:56:47
1570083002.jpg,2019-10-03 01:10:02,2020-09-10 16:32:48
1570087502.jpg,2019-10-03 02:25:02,2020-09-10 17:47:48
1570093563.jpg,2019-10-03 04:06:03,2020-09-10 19:28:53
1570103164.jpg,2019-10-03 06:46:04,2020-09-10 22:08:53
1570127944.jpg,2019-10-03 13:39:04,2020-09-11 05:01:53
1570138864.jpg,2019-10-03 16:41:04,2020-09-11 08:03:48
1570123505.jpg,2019-10-03 12:25:05,2020-09-11 03:47:53
1570147083.jpg,2019-10-03 18:58:03,2020-09-11 10:20:47
1570133702.jpg,2019-10-03 15:15:02,2020-09-11 06:37:47
1570130223.jpg,2019-10-03 14:17:03,2020-09-11 05:39:50
1570124524.jpg,2019-10-03 12:42:04,2020-09-11 04:04:52
1570103825.jpg,2019-10-03 06:57:05,2020-09-10 22:19:54
1570120024.jpg,2019-10-03 11:27:04,2020-09-11 02:49:53
